ingredient,category
mixed tocopherols (to preserve freshness),food
organic flax seed,food
organic lemon juice,food
rolled wheat,food
low fat,food
peppermint pieces (sugar,food
thiamine) - blanc de poulet d’origine britannique (17%) - eau - yaourt à la grecque (_lait_) - riz long grain (eau - riz long grain - huile de tournesol - émulsifiant : e471)   haricots noirs - épinards - mangue - poivrons rouges - poivrons jaunes - purée de mangue - huile de palme - sucre - oignons de printemps - jus de citron vert - huile de colza - épices moulues (gingembre - anis étoilé - clous de girofle -  piment de cayenne - cannelle - graines de fenouil - poivre noir - poivre blanc - cumin) - fécule de maïs - huile de tournesol - miel - poudre à lever : bicarbonate de soude,food
wheat. i,food
sodium bicar,food
natura,food
fruits 37.4% [fruits confits 21,food
organic coffee,food
flavor.,food
jamaican rum,food
salted mirin (water,food
sodium carboxymethylcellulose,food
vegetable oil (sustainable palm oil),food
milk chocolate (32%) (sugar,food
pyrophosphate,food
asiago ranch seasoning (buttermilk,food
potassium carbonate; pure butterfat,food
lemon peel,food
cardamom],food
cream wheat flour,food
microbial rennet annotta [color]),food
arôme. *% exprimé sur le fourrage équivalent à 10% sur l’ensemble du produit. pâtisseries fourrées à la pulpe d'abricot : farine de blé,food
sat,food
organic whole soybeans,food
calcium alginate,food
canola and/or soybean (with tbhq [preservative]) and/or pam oil,food
(39%),food
oyster extractives (oyster,food
potassium carbonate; caramel sugar syrup,food
ingredients: dry roasted almonds,food
extractives of paprik,food
steel-cut are whole groats sliced.,food
enzyme modified butter,food
parsley*. *dehydrated,food
graines de cumin,food
_almonds_ (_nut_) (2.3%),food
rib,food
calcium disodium edta (retains product freshness),food
ferrous sulfate,food
thiamin mononitrate [vitamin b1],food
natural flavor),food
nitrite de sodium) ); oignons; chorizo de porc (2%) (viande de porc (90%),food
bleached [flour,food
starter distillate]),food
cream cheese* (cream,food
butterfat,food
emulsifier (mono-und diglyderides of fatty acids).,food
red and green bell pepper,food
indian sarsaparilla,food
leaven,food
whole milk (milk vitamin d3),food
organic tomato juice,food
modified food starch.,food
lemon peel.,food
apple juice from concentrate,food
leavening (sodium aluminum phosphate,food
citric acid acid,food
soy lecithin-an emulsifier,food
anhydrous milk fat,food
organic ground cinnamon,food
white distilled,food
mini pretzel (enriched wheat flour [wheat flo,food
artific,food
