ingredient,category
diisostearoyl polyglyceryl-3 dimer dilinoleate,cosmetic
saccharomyces/zinc ferment,cosmetic
sodium phosphate,cosmetic
sodium stearoyl lactylate,cosmetic
-marula butter: a super-pure,cosmetic
adansonia digitata seed oil,cosmetic
"-azelaic acid 10%: helps to visibly reduce the appearance of redness and soothes the skin.​
-allantoin 0.3%: soothes and reduces discomfort to the skin.

water",cosmetic
wrinkles,cosmetic
potassium palmate,cosmetic
ppg-6-decyltetradeceth-30,cosmetic
rehmannia gutinosa root extract,cosmetic
"and sunflower oil extract: work to improve the skin’s barrier properties to restore its natural balance.
-zinc: counteracts the formation of breakouts.
-bistort root extract: provides a radiant complexion.

water (aqua)",cosmetic
black tea extract,cosmetic
rose damascena flower oil,cosmetic
polyhydroxystearic acid,cosmetic
-proprietary ceramide-building complex: provides nourishing lipids,cosmetic
and provide a light,cosmetic
acetyl octapeptide-3.,cosmetic
brassica oleracea italica (broccoli) extract,cosmetic
sugar*+,cosmetic
plumeria rubra flower extract,cosmetic
potassium chloride,cosmetic
pseudozyma epicola / argania spinosa kernel oil ferment filtrate,cosmetic
"-olive-derived squalane: acts as a silky emollient for lightweight feel that is intensely hydrating.
-lactobacillus ferment filtrate and kefir ferment filtrate: balances skin’s microbiome with good bacteria and supports a healthy barrier.
-jojoba seed oil and vitamin e: protects skin from water loss",cosmetic
beet vulgaris (beet) root extract,cosmetic
sucrosetetrastearate triacetate,cosmetic
punica granatum extract,cosmetic
"balanced skin.
-prebiotics: leave skin nourished and visibly balanced.
-peptides: visibly firm skin.

aqua/water/eau",cosmetic
"alcohol.



the list of ingredients is subject to change",cosmetic
stearamide amp,cosmetic
"radiant skin.
-vitamin e: soothes and nourishes skin.

homosalate",cosmetic
c10-18 triglycerideds,cosmetic
coptis japonica root extract,cosmetic
"flaky skin.
-licorice root",cosmetic
"stress-relieving mineral that soothes mind and body.
-amla: packed with antioxidants and vitamin c to visibly hydrate and boost radiance.
-valerian root: eases stress",cosmetic
"reverse dryness and recover loss of volume.

-niacinamide: helps strengthen the skin barrier.

-marula butter and marula oil: helps deeply moisturize and nourish hands and brittle cuticles




aqua/water/eau",cosmetic
disodium edta.,cosmetic
"ci 16035 (red 40)



the list of ingredients is subject to change",cosmetic
sodium lauryl glucose carboxylate,cosmetic
sambucus nigra (elderberry),cosmetic
mentha piperita (peppermint) oil,cosmetic
cinnamomum cassia (cinnamon) bark extract,cosmetic
ci 42090 / blue 1,cosmetic
"butyrospermum 
parkii (shea) butter",cosmetic
gas,cosmetic
-glycerin and hyaluronic acid: provide a softer,cosmetic
"-vitamin c 5%: brightens the look of under-eye dullness and smooths visible fine lines.
-zerumbone: targets the root causes of visible under-eye discoloration​.
-peptides: visibly firm around the eyes and restore youthful-looking bounce.

water/aqua/eau",cosmetic
"hydrogenated palm glycerides citrate.

the list of ingredients is subject to change",cosmetic
"rough skin.
-shea butter: soothes visibly irritated skin and reduces redness.
-coconut oil: nurtures and supports against environmental aggressors that dry out skin.

cocos nucifera (coconut) oil",cosmetic
cedrus atlantica (cedar),cosmetic
water (aqua / eau),cosmetic
"helping the eye area retain moisture.

 water",cosmetic
methyl glucose sesquistearate,cosmetic
boswellia serrata extract,cosmetic
amylopectin/glycerin crosspolymer,cosmetic
papain (papaya),cosmetic
-amla: the world’s most concentrated antioxidant,cosmetic
cichorium intybus (chicory) root extract,cosmetic
vanilla planifolia fruit extract,cosmetic
rosmarinus officinalis (rosemary) leaf water,cosmetic
polyglyceryl-4 laurate (emollient/emulsifier),cosmetic
"-grapefruit oil: contains brightening and calming properties.
-avocado oil: conditions skin with vitamins a and c and improves the look of skin elasticity.

aqua (water)dihydroxyacetone",cosmetic
"hydrocolloid polymer technology.

the list of ingredients is subject to change",cosmetic
fine lines and wrinkles,cosmetic
nelumbium nucifera (lotus saffron),cosmetic
"linalool



the list of ingredients is subject to change",cosmetic
"-eco-cert organic dha tanning active: provides a natural-looking tan.
-vitamins b",cosmetic
"linalool * 100% natural fragrance - parfum 100% naturel

the list of ingredients is subject to change",cosmetic
cetyl lactate,cosmetic
juniperus communis fruit oil,cosmetic
"silicon dioxide (silica).

the list of ingredients is subject to change",cosmetic
"and 6: help replenish vital skin barrier lipids for improved moisture retention and environmental protection.

water",cosmetic
citrus,cosmetic
"cetearyl 
olivate",cosmetic
and lactic acids): help reduce the look of pores and dark spots and improve skin's moisture content. -rooibos: rich in ahas and zinc,cosmetic
"ci 77491 (iron oxide).

the list of ingredients is subject to change",cosmetic
organic mct oil*,cosmetic
brassica alba oil,cosmetic
broccoli,cosmetic
-dark circle complex (caffeine,cosmetic
alcohol may contain (+/-): iron oxides (ci 77491),cosmetic
-patented alguronic acid: visibly minimizes the appearance of fine lines and wrinkles,cosmetic
lysine aspartate,cosmetic
agave tequilana leaf extract,cosmetic
keep pores clean,cosmetic
"stearic acid..

the list of ingredients is subject to change",cosmetic
hydroxypropyl starch phosphate,cosmetic
basil oil,cosmetic
ci 17200 (red 33),cosmetic
-complex of maclura bioflavonoids,cosmetic
oryza sativa (rice) bran oil,cosmetic
"-probiotic extracts: balance and improve skin smoothness.
-prebiotics (beet",cosmetic
ci 42090/blue 1,cosmetic
yellow 5 (ci19140),cosmetic
pimpinella anisum (anise) fruit extract,cosmetic
"sensitive skin and nourishes skin’s microbiome.
-borage oil: nourishes and visibly repairs.
-olive squalane: moisturizes and hydrates.

aqua/water/eau",cosmetic
corallina officinalis (red algae) extract,cosmetic
sodium levulinate,cosmetic
"-lactic acid (aha) from yeast: removes dead skin cells for a smoother-looking texture.
-salicin (bha) from willow bark extract: visibly minimizes pores.
-azelaic acid precursors from olives: visibly boost radiance and even skin tone.

aqua (water)",cosmetic
"polyglyceryl-¬‐ 
10eicosanedioate/tetradecanedioate",cosmetic
"-salicylic acid (bha) 2%: penetrates pores to clear blemish-causing buildup and shed dead skin.
-green tea: a potent antioxidant that soothes irritated skin while improving visible signs of aging.
-methylpropanediol: hydrates while visibly enhancing the skin’s glow and the formula’s penetration.

water (aqua)",cosmetic
polyester-8,cosmetic
titanium dioxide 5.3%,cosmetic
moisturizing,cosmetic
"-volcanic sand: exfoliates the skin for smoother texture.
-green fusion complex™ (green tea",cosmetic
"rosa damascena flower oil.

.",cosmetic
"-prickly pear flower enzymes: exfoliates to encourage cell renewal and helps clear buildup to prevent blemishes without over-drying
-wild crafted juniper fruit: helps balance oil without disrupting the natural ph-balance or over-drying for a healthy-looking complexion.
-chlorella: helps nourish the skin to soothe redness and calm irritation",cosmetic
microcitrus australasica fruit extract,cosmetic
carnauba cera/copernicia cerifera (carnauba) wax,cosmetic
and dark spots while promoting visibly clearer,cosmetic
-self tan complex with dha and erythrulose,cosmetic
hydrolyzed oat protein,cosmetic
myrica cerifera fruit wax,cosmetic
tetrapeptide-21,cosmetic
visibly softens,cosmetic
punica granatum pericarp extract,cosmetic
fragrance.the list of ingredients is subject to change,cosmetic
citric acid,cosmetic
glyceryl linoleate,cosmetic
"-hyaluronic acid: hydrates.
-glycerin: draws in moisture from the environment to keep skin hydrated.
-red algae extract: helps replenish the skin's natural hydration.

water",cosmetic
"vitis vinifera (grape) seed oil

the list of ingredients is subject to change",cosmetic
"t-butyl alcohol.

.

the list of ingredients is subject to change",cosmetic
sodium coceth sulfate,cosmetic
hemidesmus indicus (indian sarsaparilla),cosmetic
aloe barbadensis,cosmetic
peg-30 glyceryl isostearate,cosmetic
cannabidiol (full spectrum cbd),cosmetic
"-mirsalehi honey: is a powerful humectant that prevents moisture loss while caring for and nurturing lips.
-hyaluronic acid ultra filling spheres™: penetrate deeper into the dermis to hydrate",cosmetic
cedrus atlantica bark oil,cosmetic
olive glyceridees,cosmetic
"providing an overall smoothing effect.

water (aqua",cosmetic
dimethicone (hydration/skin-softening),cosmetic
chamomilla recutita (matricaria) flower extract,cosmetic
"and supports collagen.
-amber algae: fades and discourages the appearance of dark spots",cosmetic
"-tapioca and rice: visibly and immediately reduce pore size and allow for a smooth makeup application.
-encapsulated bha and strawberry enzyme: smooth the look of uneven texture over time.
-plant-derived pore minimizer and strawberry leaf extract: absorb excess oil to visibly minimize and blur pores quickly and over time.

water/aqua/eau",cosmetic
lavandula angustifolia (lavender) oil*,cosmetic
peg-150 pentaerythrityl tetrastearate,cosmetic
"and rebalance oil.
-japanese mugwort: acts like a ceramide to support the skin barrier.

aqua/water/eau",cosmetic
hydroxypropyl starch phospate,cosmetic
"-tfc8®: creates an optimal environment for renewed-feeling skin.
-bisabolol: supports skin's barrier function for a hydrated look and feel.
-shea butter: delivers benefits for skin that feels smoother and more supple.

aqua/water/eau",cosmetic
"-4% niacinamide: visibly evens skin tone and reduces the look of fine lines and wrinkles.
-3% squalane: hydrates skin and supports the moisture barrier.
- 2.5% peptide-lipid complex : visibly improves elasticity",cosmetic
saxifraga sarmentosa extract,cosmetic
aroma/flavor,cosmetic
calms skin,cosmetic
"linalool (010/035).

.

the list of ingredients is subject to change",cosmetic
cinnamaldehyde,cosmetic
microcrystalline cellulose persea gratissima (avocado) oil,cosmetic
citrus aurantium amara (neroli) oil,cosmetic
sh-polypeptide-123,cosmetic
improve health,cosmetic
butyl avocadate,cosmetic
polyglyceryl-3 cocoate,cosmetic
phaseolous trilobus (mudgaparni),cosmetic
vaccinium myrtillus (bilberry) seed oil,cosmetic
tetrasodium glutamate diacetae,cosmetic
marula (sclerocarya birrea) seed oil,cosmetic
ci 14700 (red 4),cosmetic
lauric acid,cosmetic
apigenin,cosmetic
potassium sorbate..,cosmetic
homosalate 6%,cosmetic
"visible glow.

aqua/water/eau",cosmetic
"algin.

.

the list of ingredients is subject to change",cosmetic
-hydrocolloid polymer technology: lifts away dirt,cosmetic
peg-10 stearate,cosmetic
polianthes tuberosa extract,cosmetic
ammonium hydroxide,cosmetic
o-cymen-5-ol,cosmetic
"and evens skin tone.
-spinach leaf extract: minimizes the appearance of dark spots and irritation.

water (aqua)",cosmetic
sodium pantothenate,cosmetic
zanthoxylum piperitum fruit extract,cosmetic
limnanthes alba seed oil,cosmetic
honey (mel/miel),cosmetic
eau),cosmetic
-organic grape water: moisturizes and soothes dry,cosmetic
citric,cosmetic
-hydration complex: a blend of hyaluronic acid,cosmetic
"-cellulose: serves as an eco-friendly alternative to microplastic beads.
-forest awakening essential oil blend: shown to lift the mood and ease stress.

aqua/water/eau",cosmetic
mel extract (honey extract,cosmetic
castanea crenata (chestnut) shell extract,cosmetic
1-methylhydantoin-2-imide,cosmetic
yellow-fruit nightshade (solanum xanthocarpum),cosmetic
albatrellus confluens (mushroom) extract,cosmetic
flavor (aroma)*,cosmetic
"citrus bergamia (bergamot) essential oil.





the list of ingredients is subject to change",cosmetic
replenishes,cosmetic
-antioxidant blend: is an infusion of encapsulated cannabinoids,cosmetic
chondrus crispus (red algae) extract],cosmetic
peg/ppg-18/18 dimethicone,cosmetic
caprylyl glycol,cosmetic
pantethine,cosmetic
calophyllum inophyllum seed oil,cosmetic
eugenia caryophyllus (clove) bud oil*,cosmetic
"and na-pca): bind moisture and support a strong skin barrier.
-panthenol: hydrates and fortifies skin’s moisture barrier.

aqua/water/eau",cosmetic
polygonatum odoratum rhizome powder,cosmetic
"-encapsulated retinol: softens the look of fine lines and wrinkles while visibly smoothing texture.
-power peptide complex: smooths the visible signs of aging for firmer-looking skin.
-bakuchiol: a potent antioxidant that gently refines the look of texture and pores.

squalane",cosmetic
"smoother feel.

simmondsia chinensis (jojoba) seed oil",cosmetic
reduces the appearance of dark spots and imperfections,cosmetic
"intensely hydrated skin.

sodium bicarbonate",cosmetic
disteareth-75 ipdi,cosmetic
vetiver (vetiveria zizanoides),cosmetic
"visibly calming irritation.

water",cosmetic
spirulina maxima extract*,cosmetic
octyldodecyl neopentanoate,cosmetic
"-greek yoghurt: nourishes.
-amaranth seed extract: protects.
-sea water: hydrates.

aqua/water/eau",cosmetic
"and condition skin.
- lavender & rose: light scent that inspires calm and relaxation.

simmondsia chinensis (jojoba) seed oil",cosmetic
illicium verum (anise) fruit/seed oil*,cosmetic
"comfortable feel.
-sunflower oil and coconut oil: soothes and moisturizes dry",cosmetic
"and visibly smooth skin.

aqua/water/eau",cosmetic
peg-50 glyceryl isostearate,cosmetic
grains,cosmetic
nerol,cosmetic
olive oil glycereth-8 esters,cosmetic
peg-20,cosmetic
plastic handle (abs).,cosmetic
"helps soothe dry skin.

aqua (water)",cosmetic
preforpro prebiotic,cosmetic
urtica dioica (nettle) extract,cosmetic
sea salt (maris sal/sel marin),cosmetic
tremella fuciformis sporocarp (silver ear mushroom) extract,cosmetic
pyrus malus (apple) seed extract,cosmetic
"parfum / fragrance.

the list of ingredients is subject to change",cosmetic
carthamus tinctorius (safflower) oleosomes,cosmetic
tapioca maltodextrin,cosmetic
-blend of french green clay,cosmetic
lysine hcl (amino acid salt/hydration),cosmetic
algae exopolysaccharides,cosmetic
assists in post-practice recovery,cosmetic
"supporting natural skin elasticity and density .
-hyaluronic acid: increases hydration and helps to smooth the appearance of skin.

water",cosmetic
sodium polyglutamate an amino acid produced by fermentation that provides silkiness and smoothness,cosmetic
tamarindus indica seed gum,cosmetic
"known for their exfoliating properties.
-bamboo stem powder: from natural origin",cosmetic
pvm/ma copolymer,cosmetic
limonene,cosmetic
ethylhexyl     palmitate,cosmetic
"and purify.
-witch hazel: helps soothe and protect skin.

aqua (water",cosmetic
-touch-activated bamboo spheres: exfoliating,cosmetic
"cucumis
sativus (cucumber) fruit extract",cosmetic
mentha piperita (peppermint) flower/leaf/stem extract,cosmetic
witch hazel.,cosmetic
hydrolyzed plukenetia volubilis seed extract,cosmetic
"and hydrates.
-moringa: contains 90+ nutrients and 46 antioxidants for mega moisture and glow.
-watermelon: hydrates dry skin with fatty acids and vitamins.

moringa oleifera seed oil",cosmetic
myristoyl pentapeptide-17,cosmetic
basil (ocimum basilicum) flower/leaf extract,cosmetic
-titanium dioxide (2.7%),cosmetic
carrageenan extract,cosmetic
"and restoring bounce.
-pygmy waterlily stem cell extract: an excellent source of antioxidants and nutrients to replenish the skin; extremely moisturizing",cosmetic
sorbate,cosmetic
"-witch hazel: controls oil and tightens pores.
-grape seed extract and vitamin e: protect from free radical damage.
-algae extract: regulates excess sebum production that can clog pores.

water",cosmetic
fructooligosaccharides (d-beta),cosmetic
"ascorbyl
palmitate",cosmetic
oat kernel extract,cosmetic
neutralize harmful free-radical damage,cosmetic
caprylic/capric triglyceride,cosmetic
prunus domestica (plum kernel) oil,cosmetic
"-physical exfoliants: micro-mineral exfoliants visibly remove dead surface cells to dramatically smoother-looking skin.
-enzymatic exfoliants: high-performing enzymes dissolve oil",cosmetic
camellia japonica (camellia) leaf extract,cosmetic
"ceramide np. 



the list of ingredients is subject to change",cosmetic
ci 77499),cosmetic
"brightens and protects the appearance of skin.

water/aqua/eau",cosmetic
-juvenescence+ complex: helps skin feel more energized. -biomimetric tri amino acid peptides: firm the look of face contours. -flaxseed extract: helps to highlight facial contours. water (aqua),cosmetic
vitamin d (as cholecalciferol),cosmetic
"and helping to improve barrier function*.
-silver ear mushroom: this hydrating super mushroom can hold up to 500 times its weight in water for intense hydration and plump*.
-tocotrenials: a super vitamin e that works as a powerful antioxidant to help protect against daily oxidative stress",cosmetic
"ci 77491 (iron oxides).

.",cosmetic
"-emollient ester blend: provides long-lasting moisture and shine.
-vegan lanolin: seals in moisture and adds a super-plump look to the lips.

ethylpetrolatum",cosmetic
and e: alleviate dryness,cosmetic
red 33 (ci 17200),cosmetic
cera carnauba/copernicia  cerifera  (carnauba)  wax/cire  de  carnauba,cosmetic
potassium palmitoyl hydrolyzed oat protein,cosmetic
"and licorice extracts: soothe the skin to visibly address redness and other signs of sensitivity.

-triple peptide blend: complements high-strength retinol",cosmetic
ocimum sanctum (holy basil) leaf extract,cosmetic
